"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Kasper Zijl","16","60.13%","0%","0%"
"2","Sam Ye","15","61.11%","0%","0%"
"3","Abe Mulder","14","49.07%","0%","0%"
"4","Francesco Bernardi","12","58.33%","0%","0%"
"5","Bram Deppenbroek","12","56.48%","0%","0%"
"6","Ettore Cerracchio","12","52.78%","0%","0%"
"7","Jan Rijnbeek","11","59.20%","0%","0%"
"8","Raaayyyyyyyyyy","11","57.41%","0%","0%"
"9","Toon de Vet","11","56.67%","0%","0%"
"10","Danila","10","56.48%","0%","0%"
"11","Guus Hinrichs","10","53.70%","0%","0%"
"12","Eef vV","10","52.78%","0%","0%"
"13","Michael smit","10","50.93%","0%","0%"
"14","Nicolas Bordenabe","10","50.87%","0%","0%"
"15","Tijmen van der Kamp","10","50.00%","0%","0%"
"16","L.S. Driessen","9","55.56%","0%","0%"
"17","Leo Rodrigo Heran Balbuena","9","50.00%","0%","0%"
"18","Max Roovers","9","47.71%","0%","0%"
"19","Mark Coehoorn","9","47.17%","0%","0%"
"20","Ingo van den Bersselaar","9","39.93%","0%","0%"
"21","Robbert","7","48.15%","0%","0%"
"22","Simon Isphording","7","48.09%","0%","0%"
"23","Lucas Feliciano","7","48.09%","0%","0%"
"24","Gino De Guzman","7","44.39%","0%","0%"
"25","Vlad-Alexandru Negară","6","55.56%","0%","0%"
"26","Gianvito Taneburgo","6","55.56%","0%","0%"
"27","Yasmin Saciri","6","51.85%","0%","0%"
"28","Laurent Paardekooper","6","42.48%","0%","0%"
"29","Tim Zemack","6","40.69%","0%","0%"
"30","Samuel Schumacher","6","38.78%","0%","0%"
"31","Mirco Bonati","3","51.04%","0%","0%"
"32","Pablo Pirata","3","41.11%","0%","0%"
"33","Ben van Wijk","3","40.69%","0%","0%"
