"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Nicolas Komanski","18","67.59%","0%","0%"
"2","Nicolas Bordenabe","15","59.93%","0%","0%"
"3","Clemens Gerteiser","15","52.78%","0%","0%"
"4","Simon Isphording","13","53.65%","0%","0%"
"5","Iain Ligthart","12","72.22%","0%","0%"
"6","Davy Baardink","12","61.11%","0%","0%"
"7","Raaayyyyyyyyyy","12","56.48%","0%","0%"
"8","Bram Deppenbroek","12","56.43%","0%","0%"
"9","Yasmin Saciri","12","47.17%","0%","0%"
"10","Youri Bakker","12","44.44%","0%","0%"
"11","Eef vV","12","43.46%","0%","0%"
"12","Tim Zemack","12","39.76%","0%","0%"
"13","Lucas Feliciano","10","50.87%","0%","0%"
"14","Dylan Holly","10","45.26%","0%","0%"
"15","Jan Rijnbeek","10","39.76%","0%","0%"
"16","Max Roovers","9","64.81%","0%","0%"
"17","Mark Coehoorn","9","62.04%","0%","0%"
"18","Ettore Cerracchio","9","62.04%","0%","0%"
"19","Raymond Anderson","9","59.20%","0%","0%"
"20","Kasper Zijl","9","58.28%","0%","0%"
"21","Tijmen van der Kamp","9","53.65%","0%","0%"
"22","Sam Ye","9","51.11%","0%","0%"
"23","Gianvito Taneburgo","9","49.94%","0%","0%"
"24","Mark Bosma","7","49.89%","0%","0%"
"25","Marcos Garcia","6","57.71%","0%","0%"
"26","Ben van Wijk","6","56.43%","0%","0%"
"27","Guus Hinrichs","6","50.93%","0%","0%"
"28","Gino De Guzman","6","49.93%","0%","0%"
"29","Tim Bunnik","6","47.17%","0%","0%"
"30","Leo Rodrigo Heran Balbuena","6","46.30%","0%","0%"
"31","Mattia Paglino","6","37.85%","0%","0%"
"32","Robbert","4","55.56%","0%","0%"
"33","Michael smit","3","51.85%","0%","0%"
"34","Simone Gottardi","3","47.78%","0%","0%"
"35","Thomas Tates","3","47.78%","0%","0%"
