"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Nicolas Komanski","18","57.41%","92.31%","54.37%"
"2","Jelle Schneider","15","52.78%","71.43%","51.83%"
"3","soufian hriz","15","48%","66.67%","51.24%"
"4","Max Bosma","13","65.74%","64.1%","63.93%"
"5","Jan Rijnbeek","13","56.43%","69.23%","55.96%"
"6","Alessio Viali","13","39.89%","69.23%","43.75%"
"7","Tijmen van der Kamp","12","62.04%","50%","60.34%"
"8","Jamie March","12","59.2%","60%","51.75%"
"9","Tim Bunnik","12","52.72%","55.56%","51.26%"
"10","Martijn Elbertse","12","49.94%","60%","50.39%"
"11","Marcel Hogewoning","12","49.89%","58.82%","48.45%"
"12","Toon de Vet","12","49.11%","60%","52.76%"
"13","Nicolas Bordenabe","12","46.13%","62.5%","45.88%"
"14","Noah van Duren","10","56.43%","57.14%","52.25%"
"15","Raymond Anderson","10","55.56%","57.58%","54.28%"
"16","Vinícius Duarte","10","48.09%","58.33%","47.79%"
"17","Eef vV","10","42.72%","50%","46.6%"
"18","Stefan Gussenhoven","9","72.22%","50%","62.23%"
"19","Simone Staderini","9","64.07%","53.33%","62.01%"
"20","Sam Ye","9","63.89%","50%","60.63%"
"21","Simon Isphording","9","55.56%","53.33%","55.05%"
"22","Max Roovers","9","49.89%","57.14%","47.48%"
"23","Bas Hendriks","9","44.39%","53.33%","46.25%"
"24","Ettore Cerracchio","9","43.46%","53.33%","45.52%"
"25","Roberto van den Elzen","9","43.41%","53.33%","45.62%"
"26","Mirco Bonati","9","36.53%","57.14%","39.57%"
"27","Lucas Feliciano","8","57.41%","46.15%","57.66%"
"28","Thomas Wood","8","50%","50%","51.99%"
"29","Mark Bosma","8","49.07%","50%","51.29%"
"30","Hidde van 't Verlaat","7","49.94%","42.86%","50.98%"
"31","Alice Lenting","7","47.17%","42.86%","49.68%"
"32","Jerryt Boersen","6","65.56%","50%","59.85%"
"33","Rob Vermaas","6","58.22%","42.86%","55.91%"
"34","Fernando Tong","6","53.7%","30.77%","55.03%"
"35","David Roozendaal","6","47.71%","38.46%","51.19%"
"36","Noah Westerweel","6","47.17%","47.06%","43.89%"
"37","Michael Joseph Purcell","6","43.35%","41.18%","44.53%"
"38","Daphne van Beusichem","4","50.87%","33.33%","51.75%"
"39","Lotte Klomp","4","41.5%","37.5%","42.72%"
"40","Marvin Schippmann","3","48.04%","21.43%","49.43%"
"41","Irshaad","3","47.78%","25%","54.69%"
"42","Tim Laros","3","47.14%","30%","48.13%"
"43","Abe Mulder","3","47.11%","33.33%","47.18%"
"44","Johan Boesveld","3","46.6%","27.27%","48.03%"
"45","Luiz Francisco Scudelari de Macedo","2","47.64%","20%","46.83%"
"46","Iain Ligthart","0","0%","0%","0%"
"47","Raven de Bruin","0","0%","0%","0%"
