Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ben van Wijk,2,Gino De Guzman,0
2,Bram Deppenbroek,2,Mark Bosma,0
3,Clemens Gerteiser,2,Ettore Cerracchio,0
4,Davy Baardink,2,Tim Bunnik,0
5,Dylan Holly,0,Raaayyyyyyyyyy,2
6,Eef vV,0,Michael smit,2
7,Gianvito Taneburgo,2,Simone Gottardi,0
8,Guus Hinrichs,2,Mattia Paglino,0
9,Iain Ligthart,2,Yasmin Saciri,0
10,Jan Rijnbeek,0,Leo Rodrigo Heran Balbuena,2
11,Kasper Zijl,0,Mark Coehoorn,2
12,Lucas Feliciano,2,Robbert,0
13,Marcos Garcia,0,Tim Zemack,2
14,Max Roovers,2,Youri Bakker,0
15,Nicolas Bordenabe,2,Raymond Anderson,0
16,Nicolas Komanski,2,Tijmen van der Kamp,0
17,Sam Ye,-,-,-
18,Simon Isphording,2,Thomas Tates,0
