Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Aartos Locos,2,Luiz Francisco Scudelari de Macedo,0
2,Abe Mulder,2,Tim Bunnik,0
3,Alessio Viali,0,Tobias van Kersbergen,2
4,Andrea Passaro,0,J van T,2
5,Blom Bezemer,0,Raven de Bruin,2
6,Bram Deppenbroek,2,Emmanuel Blazquez,0
7,Collin Bos,0,Hidde van 't Verlaat,2
8,Dylan van Gelder,0,vinicius duarte,2
9,Eef vV,2,Nicolas Bordenabe,0
10,Ettore Cerracchio,0,Max Mercx,2
11,Fernando Tong,2,Wouter Hordijk,0
12,Floris Heins,2,Jamie March,0
13,Floris Stapel,0,tijn mercx,2
14,Francesco Simonetto,0,Thomas Wood,2
15,Gianvito Taneburgo,0,Max Roovers,2
16,Harm steenbakkers,0,Marcel Hogewoning,2
17,Iain Ligthart,2,rasjied sloot,0
18,IJsbrand,2,Liam Wyatt,0
19,Irshaad,0,Rob Nolle,2
20,Jan Rijnbeek,0,Klaas-Jan Gorter,2
21,Jeff Wade,1,Tim Swillens,1
22,Jelle Schneider,0,Toon de Vet,2
23,Jelle Zwaan,1,Mikhail Kulikov,1
24,Johan Boesveld,0,Noah Westerweel,2
25,Koen Zuidberg,0,Rob Lamers,2
26,Leonardo Paternotte,2,Tom de Ruiter,0
27,Lotte Klomp,2,Pablo Pirata,0
28,Lucas Feliciano,1,Stefan van der List,1
29,Marvin Schippmann,0,Odile Strik,2
30,Matteo Bellante,2,Stefan Gussenhoven,0
31,Michele Papucci,2,Simon Isphording,0
32,Nicolas Komanski,2,Noah van Duren,0
33,Roberto van den Elzen,2,Tijmen van der Kamp,0
