Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Eef vV,0
2,Ben van Wijk,0,Tim Zemack,2
3,Bram Deppenbroek,0,Kasper Zijl,2
4,Danila,1,Tijmen van der Kamp,1
5,Ettore Cerracchio,2,L.S. Driessen,0
6,Francesco Bernardi,2,Michael smit,0
7,Gianvito Taneburgo,0,Leo Rodrigo Heran Balbuena,2
8,Gino De Guzman,0,Nicolas Bordenabe,2
9,Guus Hinrichs,2,Robbert,0
10,Ingo van den Bersselaar,2,Laurent Paardekooper,0
11,Jan Rijnbeek,0,Sam Ye,2
12,Lucas Feliciano,0,Toon de Vet,2
13,Mark Coehoorn,2,Vlad-Alexandru Negară,0
14,Max Roovers,0,Raaayyyyyyyyyy,2
15,Pablo Pirata,0,Simon Isphording,2
16,Samuel Schumacher,0,Yasmin Saciri,2
