Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Yasmin Saciri,0
2,Ben van Wijk,0,Max Roovers,2
3,Bram Deppenbroek,2,Lucas Feliciano,0
4,Danila,2,L.S. Driessen,0
5,Eef vV,0,Jan Rijnbeek,2
6,Ettore Cerracchio,1,Raaayyyyyyyyyy,1
7,Francesco Bernardi,2,Vlad-Alexandru Negară,0
8,Gianvito Taneburgo,2,Ingo van den Bersselaar,0
9,Gino De Guzman,1,Michael smit,1
10,Guus Hinrichs,1,Toon de Vet,1
11,Kasper Zijl,2,Sam Ye,0
12,Laurent Paardekooper,2,Pablo Pirata,0
13,Leo Rodrigo Heran Balbuena,-,-,-
14,Mark Coehoorn,2,Mirco Bonati,0
15,Nicolas Bordenabe,0,Tijmen van der Kamp,2
16,Robbert,2,Tim Zemack,0
17,Samuel Schumacher,0,Simon Isphording,2
