Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Arne Klarenberg,1,Martijn Siemes,1
2,Bram Deppenbroek,2,Danila,0
3,Clemens Gerteiser,0,Floris Heins,2
4,Dylan Holly,0,Tim Bunnik,2
5,Eef vV,0,Tim Laros,2
6,Ettore Cerracchio,0,Tom de Ruiter,2
7,Fernando Gómez-Acebo,2,Francesco Bernardi,0
8,Gianvito Taneburgo,2,Raymond Anderson,0
9,Gino De Guzman,1,Nicolas Bordenabe,1
10,Julius Siemes,0,Tobias van Kersbergen,2
11,Leo Rodrigo Heran Balbuena,2,Thomas Gates,0
12,Mark Coehoorn,0,Robbert,2
13,Max Roovers,1,Toon de Vet,1
14,Nicolas Komanski,2,Tijmen van der Kamp,0
15,Raaayyyyyyyyyy,1,Rob Lamers,1
16,Sam Ye,2,Stefan Vlijm,0
