Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Mario Giordano,2
2,Alexander Boon,0,Tom de Ruiter,2
3,Arne De Greef,0,Tijmen van der Kamp,2
4,Axel Quasten,0,Gianluca Ramaccia,2
5,Ben Luis Hack,2,Leo Weiler,0
6,Ben van Wijk,2,Yuri Stevens van Swaay,0
7,Benjamin Haude,2,Tomas Gonzalez,0
8,Benjamin Mul,2,Marco Lazzari,0
9,boris romero,1,Tobias van Kersbergen,1
10,Bram Deppenbroek,0,phillip drage,2
11,Cameron Sidhu,2,Eef vV,0
12,Camille Paquay,0,Francesco Agnesi,2
13,David Horvath,2,Michael Joseph Purcell,0
14,Dennis Puetz,0,Thomas Wood,2
15,Diego Orlandini,0,Johannes Theiß,2
16,Donato Bliek,0,Stefan Vlijm,2
17,Dylan Holly,2,Ravi Breugom,0
18,Dylan van Gelder,0,Kieran Edwards,2
19,Emanuele Rolando,2,F.C Jonkman,0
20,Erik de Waard,0,Tiff Kraan,2
21,Ernesto Jacopo Varriale,0,Max Roovers,2
22,Felix Watermann,2,Marius Bergwerff,0
23,Floris Heins,2,Frank Kortsmit,0
24,Floris Stapel,0,Wouter Hordijk,2
25,Francesco Simonetto,2,Max Moriette-Sala,0
26,Gus Vanpoucke,0,Youri van der Zee,2
27,Harm steenbakkers,2,Maeve Powlick,0
28,Haron Tuin,2,Jasper jonkman,0
29,Hayden Dubock,2,Luiz Francisco Scudelari de Macedo,0
30,Hidde van 't Verlaat,0,Mattia Paglino,2
31,Iain Ligthart,2,Yannic van Heereveld,0
32,Ivan Kors,0,Oscar Francisco,2
33,jarno polhuijs,1,Lars Broekhof,1
34,Jaron Polhuijs,0,Raven de Bruin,2
35,Jasper Roelfsema,0,Stefan Pouwelse,2
36,Jelle Schneider,2,Katie Berlin,0
37,Jerwin Pouwelse,0,Wilson,2
38,Jonathan,2,Robert Kropholler,0
39,Jörg Vondenhoff,0,Karl Niklas,2
40,Julian Dornebusch,2,OwenP,0
41,Kai Schäfer,2,Tim Laros,0
42,Kai Schutte,0,Oscar Jocqué,2
43,Klaas-Jan Gorter,0,Noah Westerweel,2
44,Koen Zuidberg,0,Vitaly Svetlov,2
45,Leonardo Paternotte,2,ruben drabbels,0
46,Lisa-Marie Bliek,0,PotestasNecis,2
47,Luka Pasalic,1,Timo Vogelfänger,1
48,Marc Bosserhoff,0,Tim Bunnik,2
49,Marcel Hogewoning,0,Rob Lamers,2
50,Marco Giocondo Mignone,0,Matteo Bellante,2
51,Mick,0,Mitch van der Heijden,2
52,Morgan Fussell,0,Ross McKendrick,2
53,Morgan Privitera,0,Patrick Heijna,2
54,Neil,0,Vincent Zwinkels,2
55,Nicolas Bordenabe,2,Raymond Anderson,0
56,Robbert,2,Vince kors,0
57,Simon Isphording,0,Toon de Vet,2
58,soufian hriz,2,Thijs Deckers,0
59,Stefan Gussenhoven,2,Youri Bakker,0
