Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ben van Wijk,0,Tijmen van der Kamp,2
2,Bram Deppenbroek,2,Kasper Zijl,0
3,Clemens Gerteiser,2,Iain Ligthart,0
4,Davy Baardink,0,Nicolas Bordenabe,2
5,Dylan Holly,2,Mattia Paglino,0
6,Eef vV,2,Lucas Feliciano,0
7,Ettore Cerracchio,2,Leo Rodrigo Heran Balbuena,0
8,Gianvito Taneburgo,2,Gino De Guzman,0
9,Guus Hinrichs,0,Jan Rijnbeek,2
10,Marcos Garcia,2,Thomas Tates,0
11,Mark Bosma,2,Michael smit,0
12,Mark Coehoorn,0,Yasmin Saciri,2
13,Max Roovers,0,Tim Zemack,2
14,Nicolas Komanski,2,Simon Isphording,0
15,Raaayyyyyyyyyy,2,Sam Ye,0
16,Raymond Anderson,0,Youri Bakker,2
17,Robbert,0,Tim Bunnik,2
18,Simone Gottardi,-,-,-
