Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Aartos Locos,0,vinicius duarte,2
2,Alexander Hamilton,2,Nicolas Komanski,0
3,Arne Klarenberg,0,Floris Heins,2
4,Blom Bezemer,2,Jinja Kinyak,0
5,Collin Bos,0,Rob Lamers,2
6,Dylan Holly,0,Simon Isphording,2
7,Dylan van Gelder,0,Tom de Ruiter,2
8,Eef vV,2,Raymond Anderson,0
9,Emmanuel Blazquez,1,Stefan Vlijm,1
10,Ettore Cerracchio,0,Leonardo Paternotte,2
11,Fernando Tong,2,Giacco,0
12,Floris Stapel,2,Vitaly Svetlov,0
13,Francesco Simonetto,0,Stefan van der List,2
14,Gianvito Taneburgo,2,Michael Joseph Purcell,0
15,Iain Ligthart,0,Johan Boesveld,2
16,Irshaad,2,Raven de Bruin,0
17,Jamie March,2,Marvin Schippmann,0
18,Jan Rijnbeek,2,Nicolas Bordenabe,0
19,Javier Carrillo Delgado,1,Mirco Bonati,1
20,Jeff Wade,0,Tim Swillens,2
21,Jelle Schneider,2,Ramon Facchin,0
22,Jelle Zwaan,0,Max Roovers,2
23,Klaas-Jan Gorter,1,Tijmen van der Kamp,1
24,Liam Wyatt,2,Roberto van den Elzen,0
25,Lotte Klomp,2,Toon de Vet,0
26,Lucas Feliciano,0,Marco Giocondo Mignone,2
27,Matteo Bellante,-,-,-
28,Nicola Gnasso,1,Tobias van Kersbergen,1
29,Noah Westerweel,2,Rob Vermaas,0
30,Thijs Deckers,0,Wouter Hordijk,2
31,Thomas Wood,0,Tim Laros,2
