Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Toon de Vet,2
2,Arne Klarenberg,0,Mattia Paglino,2
3,Ashley Bits,0,Evert,2
4,Ben van Wijk,0,Nicolas Bordenabe,2
5,Bram Deppenbroek,2,Clemens Gerteiser,0
6,Dalilla Bezoen,0,Tim Bunnik,2
7,Davy Baardink,0,Floris Heins,2
8,Dylan van Gelder,2,Leonardo Paternotte,0
9,Eef vV,2,Stefan Gussenhoven,0
10,Ettore Cerracchio,2,Vlad-Alexandru Negară,0
11,Francesco Simonetto,0,Kasper Zijl,2
12,Francesco Bernardi,2,Matis Violin,0
13,Gianvito Taneburgo,2,Leonidas Faliagkas,0
14,Harm steenbakkers,0,Roberto van den Elzen,2
15,Hidde van 't Verlaat,2,Lucas Feliciano,0
16,Iain Ligthart,2,Youri Bakker,0
17,Jan Rijnbeek,2,Mirco Bonati,0
18,Jinja Kinyak,0,Sam Ye,2
19,Jort Bakker,2,Morgan Privitera,0
20,Jurre Berkhout,2,Roberto Schiavone,0
21,Liam Wyatt,2,soufian hriz,0
22,Max Moriette-Sala,2,Noah Westerweel,0
23,Max Roovers,0,Michael Joseph Purcell,2
24,Michele Violin,0,Vincent Zwinkels,2
25,Nicolas Komanski,2,Rufus Ang,0
26,Nigel Stikker,2,Tom de Ruiter,0
27,Raymond Anderson,0,Rob Nolle,2
28,Rob Vermaas,2,Rob Lamers,0
29,Robbert,0,Teun Fekkes,2
30,Tijmen van der Kamp,2,Tim Laros,0
