Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Alessio Viali,0,Eef vV,2
2,Andrea Passaro,2,Liam Wyatt,0
3,Ashley Bits,0,Ettore Cerracchio,2
4,Ben van Wijk,2,Iain Ligthart,0
5,Bram Deppenbroek,0,Hidde van 't Verlaat,2
6,David Horvath,0,Nicolas Komanski,2
7,Davy Baardink,-,-,-
8,Elles Dijkhuizen,0,Thomas Wood,2
9,Fernando Gómez-Acebo,2,Quint Marcelis,0
10,Fernando Tong,0,Lucas Feliciano,2
11,Francesco Simonetto,0,Tim Laros,2
12,Francesco Agnesi,2,Jasper Roelfsema,0
13,Gianvito Taneburgo,0,Max Moriette-Sala,2
14,Harm steenbakkers,2,Ramsey Zdiri,0
15,Jan Rijnbeek,2,Jinja Kinyak,0
16,Jeff Wade,0,Vincent Zwinkels,2
17,Jelle Schneider,2,Quinten Brouwer,0
18,Jelle Zwaan,2,Nicolas Bordenabe,0
19,Kasper Zijl,2,Lotte Klomp,0
20,Maarten,0,Stefan Vlijm,2
21,Mark,0,Raven de Bruin,2
22,Max Roovers,2,Thomas Isphording,0
23,Mirco Bonati,2,Tijmen van der Kamp,0
24,Noah Westerweel,1,Vlad-Alexandru Negară,1
25,Rob Lamers,2,Thomas Gates,0
26,Rob Nolle,0,Tom de Ruiter,2
27,Roberto van den Elzen,0,Tim Bunnik,2
28,Simon Isphording,0,soufian hriz,2
29,Teun Sprikkelman,0,Toon de Vet,2
