Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Tim Laros,1,Marvin Schippmann,2
2,Noah Westerweel,1,Fernando Tong,2
3,Nicolas Komanski,2,Rob Vermaas,0
4,Irshaad,0,Alessio Viali,2
5,Nicolas Bordenabe,1,Jelle Schneider,2
6,Jamie March,1,Max Bosma,2
7,Luiz Francisco Scudelari de Macedo,0,Daphne van Beusichem,2
8,Mark Bosma,1,Hidde van 't Verlaat,2
9,Tim Bunnik,2,Abe Mulder,1
10,Thomas Wood,2,Michael Joseph Purcell,1
11,soufian hriz,0,Stefan Gussenhoven,2
12,Raymond Anderson,1,Lucas Feliciano,1
13,Vinícius Duarte,2,Bas Hendriks,0
14,David Roozendaal,0,Jan Rijnbeek,2
15,Marcel Hogewoning,2,Johan Boesveld,1
16,Jerryt Boersen,2,Eef vV,0
17,Sam Ye,2,Martijn Elbertse,0
18,Roberto van den Elzen,2,Lotte Klomp,1
19,Alice Lenting,2,Mirco Bonati,1
20,Max Roovers,1,Simone Staderini,2
21,Noah van Duren,1,Tijmen van der Kamp,2
22,Ettore Cerracchio,0,Simon Isphording,2
23,Toon de Vet,-,-,-
