Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Andrey Petukhov,0,Fernando Gómez-Acebo,2
2,Arne Klarenberg,0,Eef vV,2
3,Bram Deppenbroek,0,Raymond Anderson,2
4,Clemens Gerteiser,2,Francesco Bernardi,0
5,Danila,2,Tobias van Kersbergen,0
6,Dylan Holly,2,Leo Rodrigo Heran Balbuena,0
7,Ettore Cerracchio,0,Sam Ye,2
8,Floris Heins,0,Toon de Vet,2
9,Gianvito Taneburgo,2,Nicolas Bordenabe,0
10,Gino De Guzman,2,Lucas Feliciano,0
11,Julius Siemes,-,-,-
12,Mark Coehoorn,2,Tim Bunnik,0
13,Martijn Siemes,0,Raaayyyyyyyyyy,2
14,Max Roovers,2,Nicolas Komanski,0
15,Mirco Bonati,0,Tom de Ruiter,2
16,Rob Lamers,0,Robbert,2
17,Stefan Vlijm,2,Tim Laros,0
18,Thomas Gates,0,Tijmen van der Kamp,2
