Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Elles Dijkhuizen,2
2,Alessio Viali,0,Ettore Cerracchio,2
3,Ben van Wijk,0,Floris Heins,2
4,Bram Deppenbroek,2,Ramsey Zdiri,0
5,Eef vV,2,Natalie Zuidberg,0
6,Fernando Tong,0,Toon de Vet,2
7,Francesco Simonetto,2,Raven de Bruin,0
8,Gabriele Maria Giardino,0,Roberto van den Elzen,2
9,Gianvito Taneburgo,2,Robbert,0
10,Harm steenbakkers,2,Stefan Gussenhoven,0
11,Iain Ligthart,2,Mark Bosma,0
12,Jan Rijnbeek,2,Tijmen van der Kamp,0
13,jarno polhuijs,0,Rob Lamers,2
14,Jelle Schneider,2,Vlad-Alexandru Negară,0
15,Jelle Zwaan,2,Klaas-Jan Gorter,0
16,Koen Zuidberg,0,Liam Wyatt,2
17,Lotte Klomp,1,Max Mercx,1
18,Marco Giocondo Mignone,2,Raymond Anderson,0
19,Max Roovers,2,Tim Bunnik,0
20,Mirco Bonati,2,Noah Westerweel,0
21,Nicolas Komanski,2,Tobias van Kersbergen,0
22,Rob Vermaas,0,Vilius Peteraitis,2
23,Tim Laros,1,Tom de Ruiter,1
24,Wouter Hordijk,-,-,-
