Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Aartos Locos,1,Collin Bos,1
2,Alexander Hamilton,1,Emmanuel Blazquez,1
3,Arne Klarenberg,2,Marvin Schippmann,0
4,Blom Bezemer,0,Wouter Hordijk,2
5,Dylan Holly,2,Vitaly Svetlov,0
6,Dylan van Gelder,0,Gianvito Taneburgo,2
7,Eef vV,2,Tim Laros,0
8,Ettore Cerracchio,2,Jamie March,0
9,Fernando Tong,0,Roberto van den Elzen,2
10,Floris Heins,2,Stefan van der List,0
11,Floris Stapel,0,Leonardo Paternotte,2
12,Francesco Simonetto,2,Tim Swillens,0
13,Giacco,0,Tobias van Kersbergen,2
14,Iain Ligthart,0,Nicola Gnasso,2
15,Irshaad,0,Thomas Wood,2
16,Jan Rijnbeek,2,vinicius duarte,0
17,Javier Carrillo Delgado,0,Stefan Vlijm,2
18,Jeff Wade,2,Lotte Klomp,0
19,Jelle Schneider,2,Tom de Ruiter,0
20,Jelle Zwaan,0,Matteo Bellante,2
21,Jinja Kinyak,2,Lucas Feliciano,0
22,Johan Boesveld,2,Toon de Vet,0
23,Liam Wyatt,0,Tijmen van der Kamp,2
24,Marco Giocondo Mignone,2,Raven de Bruin,0
25,Max Roovers,0,Nicolas Komanski,2
26,Michael Joseph Purcell,2,Mirco Bonati,0
27,Nicolas Bordenabe,1,Rob Vermaas,1
28,Noah Westerweel,0,Simon Isphording,2
29,Ramon Facchin,0,Thijs Deckers,2
30,Raymond Anderson,0,Rob Lamers,2
