Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Bram Deppenbroek,0
2,Arne Klarenberg,0,Tobias van Kersbergen,2
3,Ashley Bits,0,Nicolas Bordenabe,2
4,Bauke Ham,0,Catalin Apostol,2
5,Clemens Gerteiser,2,Jan Rijnbeek,0
6,Danila,1,Toon de Vet,1
7,Dylan Holly,2,Hidde van 't Verlaat,0
8,Dylan van Gelder,0,Raymond Anderson,2
9,Ettore Cerracchio,0,Max Roovers,2
10,Floris Heins,0,Sam Ye,2
11,Gianvito Taneburgo,2,Kasper Zijl,0
12,Koen de Vos,2,Tijmen van der Kamp,0
13,Lucas Feliciano,2,Nigel Stikker,0
14,Mark Coehoorn,1,Mirco Bonati,1
15,Nicolas Komanski,-,-,-
16,Raaayyyyyyyyyy,2,Raven de Bruin,0
17,Tim Bunnik,0,Vlad-Alexandru Negară,2
