Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Arne Klarenberg,0,Tom de Ruiter,2
2,Ashley Bits,2,Kasper Zijl,0
3,Bram Deppenbroek,0,Max Roovers,2
4,Clemens Gerteiser,2,Koen de Vos,0
5,Davy Baardink,0,Tim Laros,2
6,Ettore Cerracchio,2,Raymond Anderson,0
7,Gianvito Taneburgo,0,Jan Rijnbeek,2
8,Harm steenbakkers,2,Rob Lamers,0
9,Hidde van 't Verlaat,2,Sam Ye,0
10,Jona Dijksterhuis,0,Lucas Feliciano,2
11,Mark Coehoorn,2,Tijmen van der Kamp,0
12,Nicolas Bordenabe,0,Tobias van Kersbergen,2
13,Nigel Stikker,2,Vlad-Alexandru Negară,0
14,Robbert,0,Tim Bunnik,2
15,Toon de Vet,2,Vincent Zwinkels,0
