Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Eef vV,0
2,Alessio Viali,0,Stefan Vlijm,2
3,Andrea Passaro,2,Francesco Simonetto,0
4,Ben van Wijk,0,David Horvath,2
5,boris romero,2,Liam Wyatt,0
6,Bram Deppenbroek,0,Jelle Schneider,2
7,Ettore Cerracchio,2,Francesco Agnesi,0
8,Fedde Vlietstra,2,Jeff Wade,0
9,Fernando Tong,1,Joris Dral,1
10,Floris Heins,2,Yasmin Saciri,0
11,Giacco,0,Vincent Zwinkels,2
12,Gianvito Taneburgo,2,tijn mercx,0
13,Guus Hinrichs,2,Rob Vermaas,0
14,Harm steenbakkers,0,Yannic van Heereveld,2
15,Hidde van 't Verlaat,2,Quint Marcelis,0
16,Iain Ligthart,2,Koen Zuidberg,0
17,Jan Rijnbeek,1,Noah Westerweel,1
18,Jelle Zwaan,1,Nicolas Komanski,1
19,Kasper Zijl,0,Mathieu Zwaan,2
20,Maarten Van der weide,2,Vitaly Svetlov,0
21,Maeve Powlick,-,-,-
22,Mark Bosma,0,Vlad-Alexandru Negară,2
23,Max Mercx,0,Toon de Vet,2
24,Max Roovers,2,Tom de Ruiter,0
25,Nicola Gnasso,0,Rob Lamers,2
26,Raven de Bruin,0,Rob Nolle,2
27,Roberto van den Elzen,2,Tim Laros,0
28,Rowan Groen,0,Tijmen van der Kamp,2
29,Vanessa Weber,2,Wouter Hordijk,0
