Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,vinicius duarte,0
2,Alessio Viali,1,Marco Giocondo Mignone,1
3,Ben van Wijk,0,Jelle Schneider,2
4,Bram Deppenbroek,2,Vlad-Alexandru Negară,0
5,Eef vV,2,Toon de Vet,0
6,Elles Dijkhuizen,0,Harm steenbakkers,2
7,Ettore Cerracchio,0,Iain Ligthart,2
8,Fernando Tong,0,Nicolas Komanski,2
9,Floris Heins,0,Koen Zuidberg,2
10,Francesco Simonetto,0,Tim Laros,2
11,Gabriele Maria Giardino,2,Lotte Klomp,0
12,Gianvito Taneburgo,2,Max Mercx,0
13,Jan Rijnbeek,0,jarno polhuijs,2
14,Jelle Zwaan,2,Robbert,0
15,Klaas-Jan Gorter,0,Roberto van den Elzen,2
16,Liam Wyatt,2,Raven de Bruin,0
17,Mark Bosma,2,Wouter Hordijk,0
18,Max Roovers,2,Tom de Ruiter,0
19,Mirco Bonati,0,Vilius Peteraitis,2
20,Natalie Zuidberg,2,Noah Westerweel,0
21,Ramsey Zdiri,0,Tobias van Kersbergen,2
22,Raymond Anderson,0,Rob Vermaas,2
23,Rob Lamers,2,Tijmen van der Kamp,0
24,Stefan Gussenhoven,0,Tim Bunnik,2
