Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Mark Coehoorn,2
2,Andrea Passaro,2,Michael Joseph Purcell,0
3,Arne Klarenberg,2,Blom Bezemer,0
4,Ashley Bits,2,Teun Fekkes,0
5,Ben van Wijk,2,Toon de Vet,0
6,Bram Deppenbroek,2,Lucas Feliciano,0
7,Clemens Gerteiser,0,Youri Bakker,2
8,Davy Baardink,2,Max Roovers,0
9,Douwe Kasemier,2,Yuri Stevens van Swaay,0
10,Eef vV,0,Gianvito Taneburgo,2
11,Ettore Cerracchio,0,Nicolas Bordenabe,2
12,Francesco Simonetto,2,Nigel Stikker,0
13,Frank Kortsmit,2,Thijs,0
14,Harm steenbakkers,1,Jasper Roelfsema,1
15,Hidde van 't Verlaat,2,Nicolas Komanski,0
16,Iain Ligthart,0,Tijmen van der Kamp,2
17,Jan Rijnbeek,0,Raven de Bruin,2
18,Jort Bakker,0,Tobias van Kersbergen,2
19,Kasper Zijl,2,Tom de Ruiter,0
20,Mirco Bonati,2,Tim Bunnik,0
21,Noah Westerweel,0,Roberto van den Elzen,2
22,Raymond Anderson,0,Rob Lamers,2
23,Roberto Schiavone,0,Rufus Ang,2
24,Ruben Drabbels,2,Vincent Zwinkels,0
25,Sam Ye,0,Vlad-Alexandru Negară,2
