Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Ramsey Zdiri,2
2,Alessio Viali,0,Jan Rijnbeek,2
3,Ben van Wijk,1,Toon de Vet,1
4,Bram Deppenbroek,2,Iain Ligthart,0
5,Eef vV,1,Gianvito Taneburgo,1
6,Elles Dijkhuizen,0,Klaas-Jan Gorter,2
7,Ettore Cerracchio,2,Francesco Simonetto,0
8,Fernando Tong,1,Robbert,1
9,Floris Heins,1,Max Mercx,1
10,Gabriele Maria Giardino,2,Raven de Bruin,0
11,Harm steenbakkers,0,Roberto van den Elzen,2
12,jarno polhuijs,2,Natalie Zuidberg,0
13,Jelle Schneider,0,Nicolas Komanski,2
14,Jelle Zwaan,2,Liam Wyatt,0
15,Koen Zuidberg,0,Tim Bunnik,2
16,Lotte Klomp,2,Raymond Anderson,0
17,Marco Giocondo Mignone,0,Mirco Bonati,2
18,Mark Bosma,0,Rob Vermaas,2
19,Max Roovers,0,Rob Lamers,2
20,Noah Westerweel,2,Tom de Ruiter,0
21,Stefan Gussenhoven,2,Vlad-Alexandru Negară,0
22,Tijmen van der Kamp,2,Wouter Hordijk,0
23,Tim Laros,2,vinicius duarte,0
24,Tobias van Kersbergen,2,Vilius Peteraitis,0
