Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Antonio Liguori,2,Marvin Schippmann,0
2,Ashley Bits,0,Clemens Gerteiser,2
3,Aurora Polak,0,Tijmen van der Kamp,2
4,Ben van Wijk,2,Max Roovers,0
5,Bram Deppenbroek,0,Kasper Zijl,2
6,Davy Baardink,2,Nigel Stikker,0
7,Eef vV,2,Rob Nolle,0
8,Elles Dijkhuizen,0,Quinten Hogenes,2
9,Ettore Cerracchio,1,Tom de Ruiter,1
10,Felipe Inza,2,Yannic van Heereveld,0
11,Floris Heins,2,Wouter Hordijk,0
12,Floris Stapel,0,Renee Zwolle,2
13,Francesco Simonetto,0,Francesco Agnesi,2
14,Francesco Bernardi,0,Iain Ligthart,2
15,Gianvito Taneburgo,2,Koen Zuidberg,0
16,Harm steenbakkers,2,soufian hriz,0
17,Hidde van 't Verlaat,2,Jan Rijnbeek,0
18,jarno polhuijs,0,Raven de Bruin,2
19,Jelle Zwaan,2,Tim Laros,0
20,Koen de Vos,2,Wesley Choong,0
21,Lorenzo Vitale,2,Toon de Vet,0
22,Lucas Feliciano,1,Teun Fekkes,1
23,Mark Bosma,0,Noah Westerweel,2
24,Max Moriette-Sala,0,Rob Vermaas,2
25,Ramon Facchin,2,Youri Bakker,0
26,Rob Lamers,0,Vlad-Alexandru Negară,2
27,Roberto Schiavone,0,Roberto van den Elzen,2
28,Simon Isphording,0,Tobias van Kersbergen,2
29,Thijs,0,Vincent Zwinkels,2
