Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Andrey Petukhov,-,-,-
2,Arne Klarenberg,0,Ettore Cerracchio,2
3,Bram Deppenbroek,0,Clemens Gerteiser,2
4,Danila,2,Tom de Ruiter,0
5,Dylan Holly,0,Mark Coehoorn,2
6,Eef vV,0,Robbert,2
7,Fernando Gómez-Acebo,2,Gino De Guzman,0
8,Floris Heins,2,Max Roovers,0
9,Francesco Bernardi,2,Tim Laros,0
10,Gianvito Taneburgo,2,Raaayyyyyyyyyy,0
11,Julius Siemes,0,Stefan Vlijm,2
12,Leo Rodrigo Heran Balbuena,0,Rob Lamers,2
13,Lucas Feliciano,0,Thomas Gates,2
14,Martijn Siemes,0,Tobias van Kersbergen,2
15,Mirco Bonati,0,Tijmen van der Kamp,2
16,Nicolas Bordenabe,0,Tim Bunnik,2
17,Nicolas Komanski,2,Sam Ye,0
18,Raymond Anderson,0,Toon de Vet,2
