Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ashley Bits,2,Moss,0
2,Ben van Wijk,2,Tijmen van der Kamp,0
3,Bram Deppenbroek,2,Vlad-Alexandru Negară,0
4,Danila,2,Mathieu Zwaan,0
5,Derin Ünver,0,Max Roovers,2
6,Dylan Holly,0,Leo Rodrigo Heran Balbuena,2
7,Edwin bouwer,0,Eef vV,2
8,Fedor Manukovskii,0,Mark Bosma,2
9,Gianvito Taneburgo,2,Tim Bunnik,0
10,Harm steenbakkers,2,Max Bosma,0
11,Hidde van 't Verlaat,0,Toon de Vet,2
12,Jan Rijnbeek,2,Jinja Kinyak,0
13,Kasper Zijl,2,Mirco Bonati,0
14,Lucas Feliciano,0,Youri Bakker,2
15,Manas weesing,0,Thomas Tates,2
16,Mark Coehoorn,0,Robbert,2
17,Morgan Privitera,0,Sam Ye,2
18,Raaayyyyyyyyyy,0,Rob Lamers,2
19,Raven de Bruin,2,Yasmin Saciri,0
20,Thijs,2,Vincent Zwinkels,0
