Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Gianvito Taneburgo,0
2,Arne Klarenberg,0,Tim Laros,2
3,Ashley Bits,2,Sam Ye,0
4,Ben van Wijk,2,Lucas Feliciano,0
5,Bram Deppenbroek,2,Eef vV,0
6,Clemens Gerteiser,0,Jort Bakker,2
7,Dalilla Bezoen,2,Jinja Kinyak,0
8,Davy Baardink,0,Harm steenbakkers,2
9,Dylan van Gelder,0,Ettore Cerracchio,2
10,Floris Heins,1,Mirco Bonati,1
11,Francesco Simonetto,2,Rufus Ang,0
12,Francesco Bernardi,1,Robbert,1
13,Hidde van 't Verlaat,0,Noah Westerweel,2
14,Iain Ligthart,2,Max Moriette-Sala,0
15,Jan Rijnbeek,2,Nicolas Komanski,0
16,Kasper Zijl,0,Rob Vermaas,2
17,Leonardo Paternotte,0,Max Roovers,2
18,Liam Wyatt,0,Tijmen van der Kamp,2
19,Matis Violin,-,-,-
20,Mattia Paglino,0,Nicolas Bordenabe,2
21,Michael Joseph Purcell,2,Toon de Vet,0
22,Michele Violin,2,Morgan Privitera,0
23,Nigel Stikker,2,Teun Fekkes,0
24,Raymond Anderson,0,Tim Bunnik,2
25,Rob Lamers,2,Tom de Ruiter,0
26,Rob Nolle,2,Vlad-Alexandru Negară,0
27,Roberto Schiavone,1,Youri Bakker,1
28,Roberto van den Elzen,2,soufian hriz,0
29,Stefan Gussenhoven,2,Vincent Zwinkels,0
