Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Nicolas Bordenabe,0
2,Arne Klarenberg,0,Danila,2
3,Ashley Bits,0,Koen de Vos,2
4,Bauke Ham,2,Mark Coehoorn,0
5,Bram Deppenbroek,0,Dylan Holly,2
6,Catalin Apostol,2,Max Roovers,0
7,Clemens Gerteiser,0,Gianvito Taneburgo,2
8,Dylan van Gelder,2,Raven de Bruin,0
9,Ettore Cerracchio,1,Mirco Bonati,1
10,Floris Heins,0,Raaayyyyyyyyyy,2
11,Hidde van 't Verlaat,-,-,-
12,Jan Rijnbeek,2,Tobias van Kersbergen,0
13,Kasper Zijl,0,Tim Bunnik,2
14,Lucas Feliciano,2,Raymond Anderson,0
15,Nicolas Komanski,2,Nigel Stikker,0
16,Sam Ye,0,Vlad-Alexandru Negară,2
17,Tijmen van der Kamp,2,Toon de Vet,0
