Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Gianvito Taneburgo,0
2,Arne Klarenberg,0,Collin Bos,2
3,Bram Deppenbroek,2,Francesco Simonetto,0
4,Dalilla Bezoen,2,Roberto Schiavone,0
5,Davy Baardink,0,Iskander Waldorp,2
6,Eef vV,0,Jelle Zwaan,2
7,Elles Dijkhuizen,-,-,-
8,Ettore Cerracchio,1,Kasper Zijl,1
9,Floris Heins,2,Mirco Bonati,0
10,Harm steenbakkers,0,Phil Kalter,2
11,Iain Ligthart,2,Jaron Polhuijs,0
12,Ido levy,0,Rob Lamers,2
13,Jan Rijnbeek,2,Stefan Vlijm,0
14,jarno polhuijs,0,Max Roovers,2
15,John Buckley,0,Sebastian Diaz,2
16,Jort Bakker,2,Marcel Hogewoning,0
17,Juan Ascanio,0,Thomas Wood,2
18,Liam Wyatt,0,Tim Laros,2
19,Lucas Feliciano,2,Quinten Hogenes,0
20,luka strganac,0,Tim Bunnik,2
21,Noah Westerweel,0,Tijmen van der Kamp,2
22,Raymond Anderson,2,Rob Nolle,0
23,Rob Vermaas,0,Tobias van Kersbergen,2
24,Roberto van den Elzen,2,Yannic van Heereveld,0
25,Rufus Ang,0,Tom de Ruiter,2
26,Sam Ye,0,soufian hriz,2
27,Stefan Gussenhoven,2,Jinja Kinyak,0
28,Wouter Hordijk,0,Youri Bakker,2
