Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abby,0,Iain Ligthart,2
2,Abe Mulder,2,Tim Bunnik,0
3,Bram Deppenbroek,2,Yasmin Saciri,0
4,Danila,2,Gianvito Taneburgo,0
5,Dylan Holly,2,Nicola Gnasso,0
6,Eef vV,2,Thomas Tates,0
7,Ettore Cerracchio,2,Noah Westerweel,0
8,Floris Heins,0,Youri Bakker,2
9,Gino De Guzman,0,Lucas Feliciano,2
10,Guus Hinrichs,2,Tom de Ruiter,0
11,Jan Rijnbeek,2,Thomas Gates,0
12,Kasper Zijl,0,Tijmen van der Kamp,2
13,Leo Rodrigo Heran Balbuena,0,Sam Ye,2
14,Marc Van Doorn,0,Robbert,2
15,Mark Bosma,0,Tobias van Kersbergen,2
16,Mark Coehoorn,0,Nicolas Komanski,2
17,Max Roovers,0,Toon de Vet,2
18,Nicolas Bordenabe,2,Panagiotis Lantavos-Stratigakis,0
19,Pim Rutgers,2,Zephyr,0
