Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ben van Wijk,0,Simon Isphording,2
2,Bram Deppenbroek,2,Mark Coehoorn,0
3,Clemens Gerteiser,0,Davy Baardink,2
4,Dylan Holly,1,Jan Rijnbeek,1
5,Eef vV,2,Marcos Garcia,0
6,Ettore Cerracchio,2,Tim Zemack,0
7,Gianvito Taneburgo,2,Raaayyyyyyyyyy,0
8,Gino De Guzman,-,-,-
9,Guus Hinrichs,2,Tim Bunnik,0
10,Iain Ligthart,2,Max Roovers,0
11,Kasper Zijl,2,Youri Bakker,0
12,Leo Rodrigo Heran Balbuena,0,Sam Ye,2
13,Lucas Feliciano,2,Tijmen van der Kamp,0
14,Mark Bosma,1,Robbert,1
15,Mattia Paglino,2,Simone Gottardi,0
16,Michael smit,0,Yasmin Saciri,2
17,Nicolas Bordenabe,0,Nicolas Komanski,2
18,Raymond Anderson,2,Thomas Tates,0
