Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Nicolas Komanski,2,Stefan Gussenhoven,0
2,Simone Staderini,0,Raymond Anderson,1
3,Thomas Wood,1,Jan Rijnbeek,2
4,Max Bosma,2,Lucas Feliciano,0
5,Tijmen van der Kamp,0,Jamie March,2
6,Fernando Tong,0,Jelle Schneider,2
7,Martijn Elbertse,1,Tim Bunnik,2
8,Toon de Vet,0,Noah van Duren,2
9,Sam Ye,1,Marcel Hogewoning,2
10,soufian hriz,2,Jerryt Boersen,1
11,Roberto van den Elzen,2,Daphne van Beusichem,1
12,Alessio Viali,2,Hidde van 't Verlaat,0
13,Alice Lenting,0,Mark Bosma,2
14,Marvin Schippmann,0,Max Roovers,2
15,Noah Westerweel,2,Irshaad,1
16,David Roozendaal,0,Simon Isphording,2
17,Tim Laros,0,Vinícius Duarte,2
18,Rob Vermaas,1,Bas Hendriks,2
19,Johan Boesveld,0,Nicolas Bordenabe,2
20,Eef vV,1,Luiz Francisco Scudelari de Macedo,1
21,Lotte Klomp,2,Abe Mulder,1
22,Ettore Cerracchio,2,Michael Joseph Purcell,0
23,Mirco Bonati,-,-,-
