Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ashley Bits,0,Max Roovers,2
2,Ben van Wijk,1,Toon de Vet,1
3,Bram Deppenbroek,2,Danila,0
4,Derin Ünver,2,Fedor Manukovskii,0
5,Dylan Holly,2,Max Bosma,0
6,Edwin bouwer,0,Yasmin Saciri,2
7,Eef vV,0,Sam Ye,2
8,Gianvito Taneburgo,2,Harm steenbakkers,0
9,Hidde van 't Verlaat,0,Mark Coehoorn,2
10,Jan Rijnbeek,2,Mark Bosma,0
11,Jinja Kinyak,0,Raaayyyyyyyyyy,2
12,Kasper Zijl,2,Raven de Bruin,0
13,Leo Rodrigo Heran Balbuena,2,Rob Lamers,0
14,Lucas Feliciano,2,Manas weesing,0
15,Mathieu Zwaan,0,Vlad-Alexandru Negară,2
16,Mirco Bonati,2,Moss,0
17,Morgan Privitera,2,Vincent Zwinkels,0
18,Robbert,2,Thijs,0
19,Thomas Tates,0,Youri Bakker,2
20,Tijmen van der Kamp,0,Tim Bunnik,2
