Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Antonio Liguori,0,Simon Isphording,2
2,Ashley Bits,2,Tijmen van der Kamp,0
3,Aurora Polak,0,Bram Deppenbroek,2
4,Ben van Wijk,2,soufian hriz,0
5,Clemens Gerteiser,1,Quinten Hogenes,1
6,Davy Baardink,2,Jelle Zwaan,0
7,Eef vV,2,Renee Zwolle,0
8,Elles Dijkhuizen,0,Rob Nolle,2
9,Ettore Cerracchio,0,Hidde van 't Verlaat,2
10,Felipe Inza,2,Francesco Agnesi,0
11,Floris Heins,0,Tobias van Kersbergen,2
12,Floris Stapel,0,Francesco Simonetto,2
13,Francesco Bernardi,0,Harm steenbakkers,2
14,Gianvito Taneburgo,2,Marvin Schippmann,0
15,Iain Ligthart,2,Jan Rijnbeek,0
16,jarno polhuijs,2,Rob Vermaas,0
17,Kasper Zijl,2,Lorenzo Vitale,0
18,Koen de Vos,2,Tom de Ruiter,0
19,Koen Zuidberg,2,Lucas Feliciano,0
20,Mark Bosma,2,Roberto van den Elzen,0
21,Max Moriette-Sala,0,Tim Laros,2
22,Max Roovers,0,Noah Westerweel,2
23,Nigel Stikker,2,Thijs,0
24,Ramon Facchin,0,Roberto Schiavone,2
25,Raven de Bruin,2,Wouter Hordijk,0
26,Rob Lamers,0,Yannic van Heereveld,2
27,Teun Fekkes,0,Youri Bakker,2
28,Toon de Vet,1,Wesley Choong,1
29,Vincent Zwinkels,2,Vlad-Alexandru Negară,0
