Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Aartos Locos,2,Jeff Wade,0
2,Alexander Hamilton,0,Vitaly Svetlov,2
3,Arne Klarenberg,0,Wouter Hordijk,2
4,Blom Bezemer,1,Liam Wyatt,1
5,Collin Bos,2,Nicola Gnasso,0
6,Dylan Holly,2,Tim Swillens,0
7,Dylan van Gelder,0,Giacco,2
8,Eef vV,2,Marco Giocondo Mignone,0
9,Emmanuel Blazquez,1,Roberto van den Elzen,1
10,Ettore Cerracchio,2,Gianvito Taneburgo,0
11,Fernando Tong,2,Irshaad,0
12,Floris Heins,0,Thijs Deckers,2
13,Floris Stapel,2,Nicolas Komanski,0
14,Francesco Simonetto,2,Javier Carrillo Delgado,0
15,Iain Ligthart,0,Leonardo Paternotte,2
16,Jamie March,0,Raymond Anderson,2
17,Jan Rijnbeek,2,Michael Joseph Purcell,0
18,Jelle Schneider,2,Lotte Klomp,0
19,Jelle Zwaan,2,Johan Boesveld,0
20,Jinja Kinyak,1,Stefan Vlijm,1
21,Klaas-Jan Gorter,2,Noah Westerweel,0
22,Lucas Feliciano,0,Tim Laros,2
23,Marvin Schippmann,0,Tijmen van der Kamp,2
24,Matteo Bellante,0,Max Roovers,2
25,Mirco Bonati,0,Ramon Facchin,2
26,Nicolas Bordenabe,2,Toon de Vet,0
27,Raven de Bruin,0,Simon Isphording,2
28,Rob Vermaas,0,vinicius duarte,2
29,Rob Lamers,2,Tom de Ruiter,0
30,Stefan van der List,-,-,-
31,Thomas Wood,2,Tobias van Kersbergen,0
