Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Leonardo Paternotte,2
2,Alexander Boon,2,Marcel Hogewoning,0
3,Arne De Greef,0,Klaas-Jan Gorter,2
4,Axel Quasten,2,Leo Weiler,0
5,Ben Luis Hack,0,Eef vV,2
6,Ben van Wijk,1,Johannes Theiß,1
7,Benjamin Haude,0,Dylan van Gelder,2
8,Benjamin Mul,2,Marco Giocondo Mignone,0
9,boris romero,2,Kai Schutte,0
10,Bram Deppenbroek,2,Katie Berlin,0
11,Cameron Sidhu,0,ruben drabbels,2
12,Camille Paquay,0,Stefan Pouwelse,2
13,David Horvath,2,Tim Bunnik,0
14,Dennis Puetz,2,Floris Stapel,0
15,Diego Orlandini,0,Stefan Gussenhoven,2
16,Donato Bliek,0,jarno polhuijs,2
17,Dylan Holly,0,Ivan Kors,2
18,Emanuele Rolando,0,Robbert,2
19,Erik de Waard,0,Luiz Francisco Scudelari de Macedo,2
20,Ernesto Jacopo Varriale,2,Marc Bosserhoff,0
21,F.C Jonkman,0,Matteo Bellante,2
22,Felix Watermann,2,Thijs Deckers,0
23,Floris Heins,2,Vitaly Svetlov,0
24,Francesco Simonetto,0,Lisa-Marie Bliek,2
25,Francesco Agnesi,0,Gianluca Ramaccia,2
26,Frank Kortsmit,2,Yuri Stevens van Swaay,0
27,Gus Vanpoucke,2,Tim Laros,0
28,Harm steenbakkers,0,Tomas Gonzalez,2
29,Haron Tuin,2,Neil,0
30,Hayden Dubock,0,Julian Dornebusch,2
31,Hidde van 't Verlaat,1,PotestasNecis,1
32,Iain Ligthart,0,Mattia Paglino,2
33,Jaron Polhuijs,0,Marco Lazzari,2
34,Jasper jonkman,0,Youri van der Zee,2
35,Jasper Roelfsema,0,Toon de Vet,2
36,Jelle Schneider,0,Morgan Fussell,2
37,Jerwin Pouwelse,0,Lars Broekhof,2
38,Jonathan,2,Stefan Vlijm,0
39,Jörg Vondenhoff,2,Max Moriette-Sala,0
40,Kai Schäfer,2,Tijmen van der Kamp,0
41,Karl Niklas,2,Maeve Powlick,0
42,Kieran Edwards,2,soufian hriz,0
43,Koen Zuidberg,1,Wilson,1
44,Luka Pasalic,0,phillip drage,2
45,Mario Giordano,0,Max Roovers,2
46,Marius Bergwerff,2,Thomas Wood,0
47,Michael Joseph Purcell,2,Vince kors,0
48,Mick,0,Simon Isphording,2
49,Mitch van der Heijden,2,Vincent Zwinkels,0
50,Morgan Privitera,0,Robert Kropholler,2
51,Nicolas Bordenabe,0,Youri Bakker,2
52,Noah Westerweel,2,Ravi Breugom,0
53,Oscar Francisco,2,Patrick Heijna,0
54,Oscar Jocqué,0,Ross McKendrick,2
55,OwenP,2,Raymond Anderson,0
56,Raven de Bruin,0,Tom de Ruiter,2
57,Rob Lamers,2,Wouter Hordijk,0
58,Tiff Kraan,0,Timo Vogelfänger,2
59,Tobias van Kersbergen,2,Yannic van Heereveld,0
