Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Aurora Polak,2,Marvin Schippmann,0
2,Ben van Wijk,0,Davy Baardink,2
3,Bram Deppenbroek,2,Nigel Stikker,0
4,Clemens Gerteiser,0,Tobias van Kersbergen,2
5,Eef vV,2,Kasper Zijl,0
6,Elles Dijkhuizen,2,Roberto Schiavone,0
7,Ettore Cerracchio,2,Toon de Vet,0
8,Felipe Inza,1,Vlad-Alexandru Negară,1
9,Floris Heins,2,Lucas Feliciano,0
10,Floris Stapel,2,Francesco Bernardi,0
11,Francesco Simonetto,0,Lorenzo Vitale,2
12,Francesco Agnesi,2,Iain Ligthart,0
13,Gianvito Taneburgo,0,Koen de Vos,2
14,Harm steenbakkers,2,Hidde van 't Verlaat,0
15,Jan Rijnbeek,0,Renee Zwolle,2
16,jarno polhuijs,2,Thijs,0
17,Jelle Zwaan,2,Rob Nolle,0
18,Koen Zuidberg,0,Tom de Ruiter,2
19,Mark Bosma,0,Rob Lamers,2
20,Max Moriette-Sala,-,-,-
21,Max Roovers,2,Tijmen van der Kamp,0
22,Noah Westerweel,2,Rob Vermaas,0
23,Ramon Facchin,0,Roberto van den Elzen,2
24,Raven de Bruin,2,Simon Isphording,0
25,soufian hriz,2,Youri Bakker,0
26,Teun Fekkes,0,Wesley Choong,2
27,Tim Laros,2,Wouter Hordijk,0
28,Vincent Zwinkels,2,Yannic van Heereveld,0
