Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ben van Wijk,0,Raaayyyyyyyyyy,2
2,Bram Deppenbroek,2,Mark Coehoorn,0
3,Davy Baardink,2,Mark Bosma,0
4,Dylan Holly,0,Sam Ye,2
5,Eef vV,2,Max Roovers,0
6,Ettore Cerracchio,2,Nicolas Bordenabe,0
7,Francesco Bernardi,0,Iain Ligthart,2
8,Gianvito Taneburgo,0,Jan Rijnbeek,2
9,Gino De Guzman,0,Rizi,2
10,Guus Hinrichs,2,Pim Rutgers,0
11,Job Ortmans,0,Mart Wessel Ordelmans,2
12,Kasper Zijl,2,Vlad-Alexandru Negară,0
13,Laurent Paardekooper,0,Leo Rodrigo Heran Balbuena,2
14,Lucas Feliciano,2,Sjef van Schie,0
15,Nicolas Komanski,2,Tom de Ruiter,0
16,Pablo Pirata,0,Tijmen van der Kamp,2
17,Robbert,0,Tim Bunnik,2
18,Roberto Schiavone,2,Rufus Ang,0
19,Simone Gottardi,2,Toon de Vet,0
20,Tim Zemack,2,Youri Bakker,0
