Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ben van Wijk,0,Youri Bakker,2
2,Bram Deppenbroek,0,Nicolas Komanski,2
3,Clemens Gerteiser,2,Kasper Zijl,0
4,Davy Baardink,0,Iain Ligthart,2
5,Dylan Holly,2,Simone Gottardi,0
6,Eef vV,2,Mark Bosma,0
7,Ettore Cerracchio,0,Simon Isphording,2
8,Gianvito Taneburgo,0,Mark Coehoorn,2
9,Gino De Guzman,2,Michael smit,0
10,Guus Hinrichs,0,Raymond Anderson,2
11,Jan Rijnbeek,2,Marcos Garcia,0
12,Leo Rodrigo Heran Balbuena,2,Mattia Paglino,0
13,Lucas Feliciano,0,Sam Ye,2
14,Max Roovers,2,Yasmin Saciri,0
15,Nicolas Bordenabe,2,Robbert,0
16,Raaayyyyyyyyyy,2,Tijmen van der Kamp,0
17,Thomas Tates,-,-,-
18,Tim Bunnik,0,Tim Zemack,2
