Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Frides van de Ven,0
2,Alessio Viali,0,Max Mercx,2
3,Andrea Passaro,2,Jelle Schneider,0
4,Bram Deppenbroek,2,Stefan van der List,0
5,Collin Bos,0,Simon Isphording,2
6,Dylan van Gelder,0,Floris Stapel,2
7,Eef vV,2,Noah van Duren,0
8,Emmanuel Blazquez,2,Jerwin Pouwelse,0
9,Ettore Cerracchio,0,Raven de Bruin,2
10,Fernando Tong,0,Noah Westerweel,2
11,Francesco Simonetto,0,Jamie March,2
12,Gianvito Taneburgo,2,Raymond Anderson,0
13,Harm steenbakkers,2,rasjied sloot,0
14,Hidde van 't Verlaat,2,Rob Vermaas,0
15,IJsbrand,0,Marvin Schippmann,2
16,Irshaad,0,Tim Swillens,2
17,Jan Rijnbeek,2,Mikhail Kulikov,0
18,Jeff Wade,2,Yannic van Heereveld,0
19,Jelle Zwaan,2,Thomas Isphording,0
20,Jinja Kinyak,0,Thomas Tates,2
21,Kevin van Hengst,0,vinicius duarte,2
22,Leonardo Paternotte,2,Lucas Feliciano,0
23,Lotte Klomp,0,Michael Joseph Purcell,2
24,Marcel Hogewoning,2,Quint Marcelis,0
25,Max Roovers,2,Wouter Hordijk,0
26,Mirco Bonati,2,Thijs Deckers,0
27,Raaayyyyyyyyyy,0,Thijs,2
28,Roald Landheer,2,Stefan Pouwelse,0
29,Rob Nolle,2,Tobias van Kersbergen,0
30,Roberto van den Elzen,0,Tijmen van der Kamp,2
31,tijn mercx,0,Tristan Tai,2
32,Tim Bunnik,2,Toon de Vet,0
