Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Aartos Locos,2,Tim Swillens,0
2,Alexander Hamilton,0,Rob Vermaas,2
3,Arne Klarenberg,0,Jeff Wade,2
4,Blom Bezemer,0,Eef vV,2
5,Collin Bos,2,Lotte Klomp,0
6,Dylan Holly,0,Floris Heins,2
7,Dylan van Gelder,2,Marco Giocondo Mignone,0
8,Emmanuel Blazquez,1,Nicola Gnasso,1
9,Ettore Cerracchio,2,Max Roovers,0
10,Fernando Tong,1,Raymond Anderson,1
11,Floris Stapel,2,Jan Rijnbeek,0
12,Francesco Simonetto,0,Gianvito Taneburgo,2
13,Giacco,2,Irshaad,0
14,Iain Ligthart,0,Nicolas Komanski,2
15,Jamie March,2,Matteo Bellante,0
16,Javier Carrillo Delgado,0,Roberto van den Elzen,2
17,Jelle Schneider,0,Tim Laros,2
18,Jelle Zwaan,2,Raven de Bruin,0
19,Jinja Kinyak,0,Toon de Vet,2
20,Johan Boesveld,1,Stefan Vlijm,1
21,Leonardo Paternotte,2,Stefan van der List,0
22,Liam Wyatt,1,Thomas Wood,1
23,Lucas Feliciano,1,Mirco Bonati,1
24,Marvin Schippmann,0,Michael Joseph Purcell,2
25,Nicolas Bordenabe,0,Noah Westerweel,2
26,Ramon Facchin,0,vinicius duarte,2
27,Rob Lamers,1,Wouter Hordijk,1
28,Simon Isphording,2,Thijs Deckers,0
29,Tijmen van der Kamp,1,Tobias van Kersbergen,1
30,Tom de Ruiter,2,Vitaly Svetlov,0
