Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Mick,2
2,Alexander Boon,0,Mattia Paglino,2
3,Arne De Greef,0,Marc Bosserhoff,2
4,Axel Quasten,2,Cameron Sidhu,0
5,Ben van Wijk,2,Lars Broekhof,0
6,Benjamin Haude,0,Floris Stapel,2
7,Benjamin Mul,0,Simon Isphording,2
8,boris romero,0,Jasper Roelfsema,2
9,Bram Deppenbroek,0,Stefan Gussenhoven,2
10,David Horvath,0,Oscar Jocqué,2
11,Dennis Puetz,0,Eef vV,2
12,Diego Orlandini,2,Donato Bliek,0
13,Dylan Holly,0,Vincent Zwinkels,2
14,Dylan van Gelder,0,Hayden Dubock,2
15,Emanuele Rolando,0,Yuri Stevens van Swaay,2
16,Erik de Waard,2,Jasper jonkman,0
17,Ernesto Jacopo Varriale,2,Thomas Wood,0
18,F.C Jonkman,2,Jerwin Pouwelse,0
19,Felix Watermann,2,Raymond Anderson,0
20,Floris Heins,2,Kai Schutte,0
21,Francesco Simonetto,0,Klaas-Jan Gorter,2
22,Francesco Agnesi,0,Michael Joseph Purcell,2
23,Frank Kortsmit,0,Koen Zuidberg,2
24,Gianluca Ramaccia,0,Stefan Pouwelse,2
25,Gus Vanpoucke,0,Wilson,2
26,Haron Tuin,2,Tomas Gonzalez,0
27,Hidde van 't Verlaat,0,Leonardo Paternotte,2
28,Iain Ligthart,2,jarno polhuijs,0
29,Ivan Kors,0,Neil,2
30,Jaron Polhuijs,0,Youri Bakker,2
31,Jelle Schneider,0,Max Roovers,2
32,Jonathan,2,Youri van der Zee,0
33,Jörg Vondenhoff,2,Toon de Vet,0
34,Julian Dornebusch,0,Tom de Ruiter,2
35,Kai Schäfer,2,Nicolas Bordenabe,0
36,Karl Niklas,0,Marco Lazzari,2
37,Katie Berlin,0,Robbert,2
38,Kieran Edwards,0,Ross McKendrick,2
39,Leo Weiler,0,Yannic van Heereveld,2
40,Lisa-Marie Bliek,0,Tim Bunnik,2
41,Luiz Francisco Scudelari de Macedo,2,Tijmen van der Kamp,0
42,Marcel Hogewoning,2,Ravi Breugom,0
43,Mario Giordano,2,Noah Westerweel,0
44,Marius Bergwerff,2,OwenP,0
45,Matteo Bellante,0,Vitaly Svetlov,2
46,Max Moriette-Sala,2,Wouter Hordijk,0
47,Morgan Fussell,2,Raven de Bruin,0
48,Oscar Francisco,0,ruben drabbels,2
49,Patrick Heijna,2,Timo Vogelfänger,0
50,phillip drage,2,PotestasNecis,0
51,Robert Kropholler,0,Tiff Kraan,2
52,soufian hriz,0,Vince kors,2
53,Tobias van Kersbergen,2,Johannes Theiß,0
