Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Alessio Viali,2,Thomas Gates,0
2,Andrea Passaro,0,Francesco Simonetto,2
3,Ashley Bits,2,Lotte Klomp,0
4,Ben van Wijk,2,Noah Westerweel,0
5,Bram Deppenbroek,2,Tom de Ruiter,0
6,David Horvath,2,Jeff Wade,0
7,Davy Baardink,0,Fernando Gómez-Acebo,2
8,Eef vV,2,Max Roovers,0
9,Elles Dijkhuizen,0,Rob Nolle,2
10,Ettore Cerracchio,0,Jelle Zwaan,2
11,Fernando Tong,0,Simon Isphording,2
12,Francesco Agnesi,0,Thomas Wood,2
13,Gianvito Taneburgo,0,Jan Rijnbeek,2
14,Harm steenbakkers,2,Quinten Brouwer,0
15,Hidde van 't Verlaat,2,Vincent Zwinkels,0
16,Iain Ligthart,2,Teun Sprikkelman,0
17,Jasper Roelfsema,2,Maarten,0
18,Jelle Schneider,2,Mark,0
19,Kasper Zijl,0,Tim Bunnik,2
20,Liam Wyatt,0,Vlad-Alexandru Negară,2
21,Lucas Feliciano,0,Toon de Vet,2
22,Max Moriette-Sala,0,Nicolas Bordenabe,2
23,Mirco Bonati,0,Stefan Vlijm,2
24,Nicolas Komanski,2,Tim Laros,0
25,Quint Marcelis,0,Roberto van den Elzen,2
26,Ramsey Zdiri,0,Thomas Isphording,2
27,Raven de Bruin,0,soufian hriz,2
28,Rob Lamers,2,Tijmen van der Kamp,0
