Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ben van Wijk,0,Clemens Gerteiser,2
2,Bram Deppenbroek,2,Simone Gottardi,0
3,Davy Baardink,2,Marcos Garcia,0
4,Dylan Holly,0,Mark Coehoorn,2
5,Eef vV,0,Iain Ligthart,2
6,Ettore Cerracchio,2,Sam Ye,0
7,Gianvito Taneburgo,0,Max Roovers,2
8,Gino De Guzman,0,Youri Bakker,2
9,Guus Hinrichs,0,Yasmin Saciri,2
10,Jan Rijnbeek,0,Raymond Anderson,2
11,Kasper Zijl,2,Michael smit,0
12,Leo Rodrigo Heran Balbuena,0,Tim Bunnik,2
13,Lucas Feliciano,1,Simon Isphording,1
14,Mark Bosma,2,Mattia Paglino,0
15,Nicolas Bordenabe,-,-,-
16,Nicolas Komanski,2,Raaayyyyyyyyyy,0
17,Robbert,2,Tim Zemack,0
18,Thomas Tates,0,Tijmen van der Kamp,2
