Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,0,Lucas Feliciano,2
2,Annemarije Boersma,0,Sven van Dijk,2
3,Ben van Wijk,2,Rob Lamers,0
4,Bram Deppenbroek,2,Roald Landheer,0
5,Clemens Gerteiser,2,Giovanni Allovio,0
6,Davy Baardink,0,Francesco Bernardi,2
7,Dylan Holly,2,Michael Joseph Purcell,0
8,Dylan van Gelder,0,Kasper Zijl,2
9,Eef vV,2,Jasper Roelfsema,0
10,Ettore Cerracchio,2,Sam Ye,0
11,Francesco Simonetto,0,Leo Rodrigo Heran Balbuena,2
12,Gianvito Taneburgo,1,Roberto Schiavone,1
13,Harm steenbakkers,0,Mirco Bonati,2
14,Hidde van 't Verlaat,2,Max Roovers,0
15,Jan Rijnbeek,0,Raymond Anderson,2
16,Jinja Kinyak,-,-,-
17,Johan,0,Noah Westerweel,2
18,Jort Bakker,2,Mark Coehoorn,0
19,Mathijs de Wilde,1,Toon de Vet,1
20,Nicolas Bordenabe,0,Youri Bakker,2
21,Nicolas Komanski,0,Raaayyyyyyyyyy,2
22,Raven de Bruin,0,Sebastian Diaz,2
23,Robbert,0,Simon Isphording,2
24,Romke Postma,0,Tom de Ruiter,2
25,Tijmen van der Kamp,0,Vlad-Alexandru Negară,2
26,Tim Bunnik,2,Tim Laros,0
