Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Alessio Viali,0,Rob Lamers,2
2,Andrea Passaro,2,Iain Ligthart,0
3,Ashley Bits,2,Davy Baardink,0
4,Ben van Wijk,1,David Horvath,1
5,Bram Deppenbroek,2,Simon Isphording,0
6,Eef vV,0,soufian hriz,2
7,Elles Dijkhuizen,2,Max Moriette-Sala,0
8,Ettore Cerracchio,2,Kasper Zijl,0
9,Fernando Tong,0,Rob Nolle,2
10,Francesco Simonetto,2,Quint Marcelis,0
11,Francesco Agnesi,2,Harm steenbakkers,0
12,Gianvito Taneburgo,0,Lotte Klomp,2
13,Hidde van 't Verlaat,2,Nicolas Komanski,0
14,Jan Rijnbeek,2,Jelle Zwaan,0
15,Jasper Roelfsema,0,Tom de Ruiter,2
16,Jeff Wade,2,Quinten Brouwer,0
17,Jelle Schneider,2,Ramsey Zdiri,0
18,Liam Wyatt,0,Thomas Wood,2
19,Maarten,0,Noah Westerweel,2
20,Mark,2,Mirco Bonati,0
21,Max Roovers,2,Tijmen van der Kamp,0
22,Raven de Bruin,2,Jinja Kinyak,0
23,Roberto van den Elzen,2,Vincent Zwinkels,0
24,Stefan Vlijm,0,Tim Laros,2
25,Teun Sprikkelman,-,-,-
26,Thomas Isphording,2,Vlad-Alexandru Negară,0
27,Tim Bunnik,2,Toon de Vet,0
