Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Toon de Vet,1,Stefan Gussenhoven,2
2,Tijmen van der Kamp,0,Nicolas Komanski,2
3,Jerryt Boersen,1,Simone Staderini,2
4,Jan Rijnbeek,1,Max Bosma,1
5,Marcel Hogewoning,1,Lucas Feliciano,2
6,Hidde van 't Verlaat,1,Thomas Wood,2
7,Raymond Anderson,2,Alice Lenting,0
8,Roberto van den Elzen,1,Mark Bosma,1
9,Nicolas Bordenabe,1,Sam Ye,2
10,Max Roovers,0,Martijn Elbertse,2
11,Rob Vermaas,1,soufian hriz,2
12,Simon Isphording,0,Jelle Schneider,2
13,Fernando Tong,2,Vinícius Duarte,0
14,Alessio Viali,1,Daphne van Beusichem,1
15,Marvin Schippmann,0,Noah van Duren,2
16,Tim Bunnik,2,Noah Westerweel,1
17,Jamie March,2,Luiz Francisco Scudelari de Macedo,0
18,Lotte Klomp,0,Johan Boesveld,2
19,Eef vV,2,Ettore Cerracchio,1
20,Abe Mulder,0,Bas Hendriks,2
21,Michael Joseph Purcell,1,Tim Laros,2
22,Mirco Bonati,1,Irshaad,2
23,David Roozendaal,-,-,-
