Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Ashley Bits,2,Thijs,0
2,Ben van Wijk,0,Hidde van 't Verlaat,2
3,Bram Deppenbroek,2,Mathieu Zwaan,0
4,Danila,2,Fedor Manukovskii,0
5,Derin Ünver,2,Kasper Zijl,0
6,Dylan Holly,0,Tijmen van der Kamp,2
7,Edwin bouwer,2,Morgan Privitera,0
8,Eef vV,0,Rob Lamers,2
9,Gianvito Taneburgo,1,Youri Bakker,1
10,Harm steenbakkers,0,Vlad-Alexandru Negară,2
11,Jan Rijnbeek,0,Raven de Bruin,2
12,Jinja Kinyak,0,Thomas Tates,2
13,Leo Rodrigo Heran Balbuena,2,Mirco Bonati,0
14,Lucas Feliciano,0,Toon de Vet,2
15,Mark Bosma,1,Max Bosma,1
16,Mark Coehoorn,2,Yasmin Saciri,0
17,Max Roovers,2,Sam Ye,0
18,Raaayyyyyyyyyy,2,Vincent Zwinkels,0
19,Robbert,0,Tim Bunnik,2
