Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Jelle Zwaan,2,Bas Hendriks,1
2,Alice Lenting,1,Dylan Holly,2
3,Jelle Schneider,2,Noah Westerweel,0
4,Jamie March,2,soufian hriz,1
5,Gianvito Taneburgo,1,Thijs Deckers,2
6,Jerryt Boersen,1,Dylan van Gelder,0
7,Rob Lamers,0,Tim Bunnik,2
8,Stefan Pouwelse,0,Abe Mulder,2
9,Tim Laros,0,Raaayyyyyyyyyy,2
10,Davey Barendregt,0,Floris Heins,2
11,Nicolas Komanski,2,Michael Joseph Purcell,1
12,Tijmen van der Kamp,0,Raymond Anderson,1
13,Roberto van den Elzen,2,Tom de Ruiter,1
14,Simon Isphording,2,Toon de Vet,0
15,Stefan van der List,2,Rob Kerlin,1
16,Fernando Tong,1,Floris Stapel,1
17,Lucas Feliciano,0,Vanessa Weber,2
18,Tobias van Kersbergen,2,Collin Bos,0
19,Max Roovers,2,Irshaad,0
20,Eef vV,0,Alexander Hamilton,2
21,Aartos Locos,0,Jose Jiménez Guerrero,2
22,Mirco Bonati,0,Harm steenbakkers,2
23,Tim Swillens,0,vinicius duarte,2
24,Leonardo Paternotte,-,-,-
