Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Thomas Tates,0
2,Alessio Viali,0,Felipe Martins,2
3,Andrea Passaro,2,Harm steenbakkers,0
4,Bram Deppenbroek,1,soufian hriz,1
5,Collin Bos,0,Raymond Anderson,2
6,Dylan van Gelder,0,rasjied sloot,2
7,Eef vV,0,Roberto van den Elzen,2
8,Emmanuel Blazquez,2,tijn mercx,0
9,Ettore Cerracchio,0,Toon de Vet,2
10,Fernando Tong,0,Thijs Deckers,2
11,Floris Stapel,0,Mirco Bonati,2
12,Francesco Simonetto,0,vinicius duarte,2
13,Frides van de Ven,2,Thijs,0
14,Gianvito Taneburgo,2,Jeff Wade,0
15,Hidde van 't Verlaat,2,Noah van Duren,0
16,IJsbrand,2,Leonardo Paternotte,0
17,Irshaad,2,Maeve Powlick,0
18,Jamie March,2,Marco Giocondo Mignone,0
19,Jan Rijnbeek,2,Wouter Hordijk,0
20,Jasper vd Hammen,0,Marcel Hogewoning,2
21,Jelle Schneider,2,Marvin Schippmann,0
22,Jelle Zwaan,0,Quint Marcelis,2
23,Jerwin Pouwelse,0,Tim Bunnik,2
24,Jinja Kinyak,0,Max Roovers,2
25,Johan Boesveld,0,Rob Vermaas,2
26,Kevin van Hengst,2,Simon Isphording,0
27,Lotte Klomp,2,Roald Landheer,0
28,Lucas Feliciano,1,Michael Joseph Purcell,1
29,Max Mercx,0,Stefan Pouwelse,2
30,Mikhail Kulikov,0,Thomas Isphording,2
31,Noah Westerweel,2,Rob Nolle,0
32,Raaayyyyyyyyyy,2,Tim Swillens,0
33,Raven de Bruin,0,Tobias van Kersbergen,2
34,Stefan van der List,2,Tijmen van der Kamp,0
35,Tristan Tai,1,Yannic van Heereveld,1
