Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Arne Klarenberg,0,Robbert,2
2,Ashley Bits,0,Davy Baardink,2
3,Bram Deppenbroek,2,Toon de Vet,0
4,Clemens Gerteiser,1,Vincent Zwinkels,1
5,Ettore Cerracchio,0,Mark Coehoorn,2
6,Gianvito Taneburgo,2,Tom de Ruiter,0
7,Harm steenbakkers,0,Tim Laros,2
8,Hidde van 't Verlaat,2,Nigel Stikker,0
9,Jan Rijnbeek,0,Tobias van Kersbergen,2
10,Jona Dijksterhuis,1,Raymond Anderson,1
11,Kasper Zijl,1,Lucas Feliciano,1
12,Koen de Vos,0,Max Roovers,2
13,Nicolas Bordenabe,2,Tijmen van der Kamp,0
14,Rob Lamers,0,Sam Ye,2
15,Tim Bunnik,2,Vlad-Alexandru Negară,0
