Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Andrey Petukhov,2,Gianvito Taneburgo,0
2,Ben van Wijk,0,Youri Bakker,2
3,Bram Deppenbroek,2,Kasper Zijl,0
4,Davy Baardink,1,Gino De Guzman,1
5,Dylan Holly,2,Rizi,0
6,Eef vV,-,-,-
7,Ettore Cerracchio,2,Laurent Paardekooper,0
8,Francesco Bernardi,1,Mirco Bonati,1
9,Guus Hinrichs,2,Nicolas Bordenabe,0
10,Iain Ligthart,0,Sam Ye,2
11,Jan Rijnbeek,2,Pablo Pirata,0
12,Job Ortmans,0,Leo Rodrigo Heran Balbuena,2
13,Lucas Feliciano,0,Tim Bunnik,2
14,Marc Van Doorn,0,Tijmen van der Kamp,2
15,Mark Bosma,0,Vlad-Alexandru Negară,2
16,Mark Coehoorn,0,Roberto Schiavone,2
17,Mart Wessel Ordelmans,0,Toon de Vet,2
18,Max Roovers,2,Sjef van Schie,0
19,Nicolas Komanski,2,Rufus Ang,0
20,Pim Rutgers,0,Simone Gottardi,2
21,Raaayyyyyyyyyy,0,Tom de Ruiter,2
22,Robbert,2,Tim Zemack,0
