Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Francesco Simonetto,0
2,Alessio Viali,2,Rowan Groen,0
3,Andrea Passaro,2,Hidde van 't Verlaat,0
4,Ben van Wijk,0,Quint Marcelis,2
5,boris romero,2,Fedde Vlietstra,0
6,Bram Deppenbroek,2,Max Roovers,0
7,David Horvath,0,Yannic van Heereveld,2
8,Eef vV,2,tijn mercx,0
9,Ettore Cerracchio,0,Tijmen van der Kamp,2
10,Fernando Tong,0,Maarten Van der weide,2
11,Floris Heins,2,Francesco Agnesi,0
12,Giacco,1,Maeve Powlick,1
13,Gianvito Taneburgo,0,Toon de Vet,2
14,Guus Hinrichs,0,Roberto van den Elzen,2
15,Harm steenbakkers,2,Stefan Vlijm,0
16,Iain Ligthart,2,Jelle Schneider,0
17,Jan Rijnbeek,2,Koen Zuidberg,0
18,Jeff Wade,0,Wouter Hordijk,2
19,Jelle Zwaan,2,Mathieu Zwaan,0
20,Joris Dral,0,Kasper Zijl,2
21,Liam Wyatt,2,Vanessa Weber,0
22,Max Mercx,0,Rob Vermaas,2
23,Nicola Gnasso,0,Tom de Ruiter,2
24,Nicolas Komanski,2,Noah Westerweel,0
25,Raven de Bruin,2,Vlad-Alexandru Negară,0
26,Rob Lamers,2,Rob Nolle,0
27,Tim Laros,2,Vincent Zwinkels,0
28,Vitaly Svetlov,0,Yasmin Saciri,2
