Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Abe Mulder,2,Tim Laros,0
2,Alessio Viali,0,Quint Marcelis,2
3,Andrea Passaro,0,Toon de Vet,2
4,Ben van Wijk,0,Francesco Agnesi,2
5,boris romero,0,Hidde van 't Verlaat,2
6,Bram Deppenbroek,2,Ettore Cerracchio,0
7,David Horvath,0,Eef vV,2
8,Fedde Vlietstra,2,Francesco Simonetto,0
9,Fernando Tong,0,Rob Vermaas,2
10,Floris Heins,0,Iain Ligthart,2
11,Giacco,0,Jan Rijnbeek,2
12,Gianvito Taneburgo,0,Yannic van Heereveld,2
13,Guus Hinrichs,0,Rob Nolle,2
14,Harm steenbakkers,2,Kasper Zijl,0
15,Jeff Wade,0,Vlad-Alexandru Negară,2
16,Jelle Schneider,2,Vanessa Weber,0
17,Jelle Zwaan,0,Noah Westerweel,2
18,Joris Dral,2,Rowan Groen,0
19,Koen Zuidberg,2,Yasmin Saciri,0
20,Liam Wyatt,2,Maarten Van der weide,0
21,Lisa-Marie van Barneveld,0,Tom de Ruiter,2
22,Lot Rossmark,0,Nicola Gnasso,2
23,Lucas Feliciano,0,Nicolas Komanski,2
24,Maeve Powlick,0,Stefan Vlijm,2
25,Mark Bosma,2,Vitaly Svetlov,0
26,Mathieu Zwaan,1,Max Mercx,1
27,Max Roovers,0,Roberto van den Elzen,2
28,Raven de Bruin,2,tijn mercx,0
29,Rob Lamers,2,Vincent Zwinkels,0
30,Tijmen van der Kamp,2,Wouter Hordijk,0
