Table,Player 1,P1 Wins,Player 2,P2 Wins
1,Arne Klarenberg,0,Mirco Bonati,2
2,Bram Deppenbroek,2,Leo Rodrigo Heran Balbuena,0
3,Clemens Gerteiser,0,Robbert,2
4,Danila,0,Max Roovers,2
5,Dylan Holly,2,Stefan Vlijm,0
6,Eef vV,0,Nicolas Komanski,2
7,Ettore Cerracchio,2,Julius Siemes,0
8,Fernando Gómez-Acebo,0,Floris Heins,2
9,Francesco Bernardi,0,Tim Bunnik,2
10,Gianvito Taneburgo,2,Thomas Gates,0
11,Gino De Guzman,0,Tim Laros,2
12,Mark Coehoorn,2,Toon de Vet,0
13,Martijn Siemes,-,-,-
14,Nicolas Bordenabe,0,Tom de Ruiter,2
15,Raaayyyyyyyyyy,2,Tobias van Kersbergen,0
16,Raymond Anderson,2,Rob Lamers,0
17,Sam Ye,0,Tijmen van der Kamp,2
