"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Sam Ye","15","63.89%","0%","0%"
"2","Vlad-Alexandru Negară","15","63.83%","0%","0%"
"3","Gianvito Taneburgo","15","62.04%","0%","0%"
"4","Bauke Ham","13","59.26%","0%","0%"
"5","Jan Rijnbeek","13","48.09%","0%","0%"
"6","Tim Bunnik","12","52.67%","0%","0%"
"7","Lucas Feliciano","12","50.87%","0%","0%"
"8","Raaayyyyyyyyyy","12","50.87%","0%","0%"
"9","Nicolas Bordenabe","12","49.94%","0%","0%"
"10","Koen de Vos","12","41.61%","0%","0%"
"11","Clemens Gerteiser","10","58.33%","0%","0%"
"12","Catalin Apostol","10","53.65%","0%","0%"
"13","Mark Coehoorn","10","53.65%","0%","0%"
"14","Floris Heins","9","63.83%","0%","0%"
"15","Abe Mulder","9","62.04%","0%","0%"
"16","Kasper Zijl","9","58.28%","0%","0%"
"17","Dylan Holly","9","50.00%","0%","0%"
"18","Nicolas Komanski","9","49.93%","0%","0%"
"19","Bram Deppenbroek","9","45.31%","0%","0%"
"20","Mirco Bonati","8","49.89%","0%","0%"
"21","Max Roovers","7","50.87%","0%","0%"
"22","Danila","7","42.43%","0%","0%"
"23","Dylan van Gelder","6","55.56%","0%","0%"
"24","Raymond Anderson","6","54.17%","0%","0%"
"25","Hidde van 't Verlaat","6","46.67%","0%","0%"
"26","Raven de Bruin","6","45.31%","0%","0%"
"27","Tijmen van der Kamp","6","45.20%","0%","0%"
"28","Ettore Cerracchio","5","43.46%","0%","0%"
"29","Toon de Vet","5","39.70%","0%","0%"
"30","Tobias van Kersbergen","4","43.35%","0%","0%"
"31","Ashley Bits","3","58.25%","0%","0%"
"32","Nigel Stikker","3","47.17%","0%","0%"
"33","Arne Klarenberg","0","55.47%","0%","0%"
"34","Tim Zemack","0","38.72%","0%","0%"
