"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Jelle Zwaan","19","0%","0%","0%"
"2","Toon de Vet","18","0%","0%","0%"
"3","Mikhail Kulikov","16","0%","0%","0%"
"4","Stefan van der List","16","0%","0%","0%"
"5","Lucas Feliciano","16","0%","0%","0%"
"6","vinicius duarte","16","0%","0%","0%"
"7","Nicolas Komanski","16","0%","0%","0%"
"8","Floris Heins","15","0%","0%","0%"
"9","Hidde van 't Verlaat","15","0%","0%","0%"
"10","Klaas-Jan Gorter","15","0%","0%","0%"
"11","Roberto van den Elzen","15","0%","0%","0%"
"12","Max Roovers","15","0%","0%","0%"
"13","Abe Mulder","15","0%","0%","0%"
"14","Jelle Schneider","13","0%","0%","0%"
"15","J van T","13","0%","0%","0%"
"16","Dylan van Gelder","13","0%","0%","0%"
"17","Odile Strik","13","0%","0%","0%"
"18","Noah Westerweel","13","0%","0%","0%"
"19","Max Mercx","13","0%","0%","0%"
"20","Iain Ligthart","12","0%","0%","0%"
"21","Ettore Cerracchio","12","0%","0%","0%"
"22","Michele Papucci","12","0%","0%","0%"
"23","Jan Rijnbeek","12","0%","0%","0%"
"24","Tijmen van der Kamp","12","0%","0%","0%"
"25","Jamie March","12","0%","0%","0%"
"26","Tim Bunnik","12","0%","0%","0%"
"27","Rob Lamers","12","0%","0%","0%"
"28","Gianvito Taneburgo","12","0%","0%","0%"
"29","Johan Boesveld","12","0%","0%","0%"
"30","Eef vV","12","0%","0%","0%"
"31","Leonardo Paternotte","11","0%","0%","0%"
"32","Noah van Duren","11","0%","0%","0%"
"33","Fernando Tong","11","0%","0%","0%"
"34","Tobias van Kersbergen","11","0%","0%","0%"
"35","Raven de Bruin","10","0%","0%","0%"
"36","rasjied sloot","9","0%","0%","0%"
"37","Andrea Passaro","9","0%","0%","0%"
"38","Simon Isphording","9","0%","0%","0%"
"39","Thomas Wood","9","0%","0%","0%"
"40","Bram Deppenbroek","9","0%","0%","0%"
"41","Marcel Hogewoning","9","0%","0%","0%"
"42","Matteo Bellante","9","0%","0%","0%"
"43","Rob Nolle","9","0%","0%","0%"
"44","Harm steenbakkers","9","0%","0%","0%"
"45","Irshaad","9","0%","0%","0%"
"46","Collin Bos","9","0%","0%","0%"
"47","Stefan Gussenhoven","9","0%","0%","0%"
"48","Emmanuel Blazquez","9","0%","0%","0%"
"49","Nicolas Bordenabe","9","0%","0%","0%"
"50","Tom de Ruiter","8","0%","0%","0%"
"51","Marvin Schippmann","7","0%","0%","0%"
"52","Wouter Hordijk","7","0%","0%","0%"
"53","Aartos Locos","7","0%","0%","0%"
"54","Liam Wyatt","7","0%","0%","0%"
"55","Francesco Simonetto","6","0%","0%","0%"
"56","Koen Zuidberg","6","0%","0%","0%"
"57","Blom Bezemer","6","0%","0%","0%"
"58","tijn mercx","6","0%","0%","0%"
"59","Pablo Pirata","6","0%","0%","0%"
"60","IJsbrand","6","0%","0%","0%"
"61","Floris Stapel","6","0%","0%","0%"
"62","Lotte Klomp","6","0%","0%","0%"
"63","Mirco Bonati","4","0%","0%","0%"
"64","Luiz Francisco Scudelari de Macedo","4","0%","0%","0%"
"65","Alessio Viali","4","0%","0%","0%"
"66","Jack Schuurbiers","3","0%","0%","0%"
"67","Clemens Gerteiser","3","0%","0%","0%"
"68","Thijs","3","0%","0%","0%"
"69","Davide Caviglia","3","0%","0%","0%"
"70","Max Power","2","0%","0%","0%"
"71","Tim Swillens","1","0%","0%","0%"
"72","Jeff Wade","1","0%","0%","0%"
