"Rank","Player","Pts","OW%","GW%","OGW%"
"1","Hidde van 't Verlaat","18","60.19%","0%","0%"
"2","soufian hriz","15","64.26%","0%","0%"
"3","Tim Bunnik","15","58.70%","0%","0%"
"4","Thomas Isphording","15","54.57%","0%","0%"
"5","Jan Rijnbeek","15","47.17%","0%","0%"
"6","Nicolas Komanski","13","67.59%","0%","0%"
"7","Eef vV","12","72.22%","0%","0%"
"8","Thomas Wood","12","66.67%","0%","0%"
"9","Max Roovers","12","63.89%","0%","0%"
"10","Jelle Zwaan","12","62.78%","0%","0%"
"11","Fernando Gómez-Acebo","12","58.67%","0%","0%"
"12","Rob Lamers","12","58.28%","0%","0%"
"13","Toon de Vet","12","58.22%","0%","0%"
"14","Bram Deppenbroek","12","57.22%","0%","0%"
"15","Tim Laros","12","50.93%","0%","0%"
"16","Jelle Schneider","12","48.09%","0%","0%"
"17","Francesco Agnesi","12","48.09%","0%","0%"
"18","Vlad-Alexandru Negară","11","56.43%","0%","0%"
"19","David Horvath","11","51.85%","0%","0%"
"20","Ben van Wijk","10","61.11%","0%","0%"
"21","Roberto van den Elzen","10","49.02%","0%","0%"
"22","Raven de Bruin","9","59.26%","0%","0%"
"23","Nicolas Bordenabe","9","56.00%","0%","0%"
"24","Harm steenbakkers","9","55.50%","0%","0%"
"25","Ramsey Zdiri","9","53.33%","0%","0%"
"26","Francesco Simonetto","9","52.72%","0%","0%"
"27","Ettore Cerracchio","9","51.85%","0%","0%"
"28","Liam Wyatt","9","51.85%","0%","0%"
"29","Simon Isphording","9","51.80%","0%","0%"
"30","Ashley Bits","9","50.00%","0%","0%"
"31","Stefan Vlijm","9","49.89%","0%","0%"
"32","Alessio Viali","9","49.89%","0%","0%"
"33","Andrea Passaro","9","48.15%","0%","0%"
"34","Tom de Ruiter","9","47.22%","0%","0%"
"35","Tijmen van der Kamp","9","44.39%","0%","0%"
"36","Elles Dijkhuizen","9","41.56%","0%","0%"
"37","Noah Westerweel","8","46.19%","0%","0%"
"38","Mark","7","47.11%","0%","0%"
"39","Davy Baardink","6","62.67%","0%","0%"
"40","Vincent Zwinkels","6","56.43%","0%","0%"
"41","Kasper Zijl","6","55.56%","0%","0%"
"42","Jasper Roelfsema","6","49.94%","0%","0%"
"43","Jinja Kinyak","6","49.87%","0%","0%"
"44","Max Moriette-Sala","6","49.70%","0%","0%"
"45","Quint Marcelis","6","49.44%","0%","0%"
"46","Iain Ligthart","6","46.93%","0%","0%"
"47","Rob Nolle","6","41.61%","0%","0%"
"48","Lotte Klomp","6","38.78%","0%","0%"
"49","Jeff Wade","6","37.80%","0%","0%"
"50","Mirco Bonati","5","47.17%","0%","0%"
"51","Gianvito Taneburgo","4","45.31%","0%","0%"
"52","Maarten","4","43.46%","0%","0%"
"53","Teun Sprikkelman","3","53.27%","0%","0%"
"54","Thomas Gates","3","45.83%","0%","0%"
"55","Quinten Brouwer","3","44.44%","0%","0%"
"56","Lucas Feliciano","3","41.58%","0%","0%"
"57","Fernando Tong","0","41.61%","0%","0%"
